#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-contig/pond-sw-local-busy-2-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0011375 seconds
Distributing the actor graph took: 2.17529 seconds
Added actors in: 0.234098 seconds.
Initialized connections of actors in: 0.0113409 seconds.
Async Migration only
Output number: 1, Rank-28: (1) 58 | (2) 800 | (3)7.25/100 | (4) 79, 79 | (5) 99.4865 | (6) 34.3159 | (7) 5.8751e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 73.8889/100 | (15) 0 | (17) (79, 79) | (18) X | (19) (30152, 30152) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2591.67 | (25) (33.5874, 3-55) | (26) 1
Output number: 1, Rank-44: (1) 92 | (2) 797 | (3)11.5433/100 | (4) 104, 104 | (5) 129.534 | (6) 20.5224 | (7) 7.9579e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 83.3333/100 | (15) 0 | (17) (104, 104) | (18) X | (19) (39144, 39144) | (20) 1 | (21) 1 | (22) 0 | (23) 3 | (24) 3414.16 | (25) (34.5485, 61-59) | (26) 1
Output number: 1, Rank-29: (1) 44 | (2) 708 | (3)6.21469/100 | (4) 99, 99 | (5) 107.224 | (6) 28.9396 | (7) 3.9005e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 75.5556/100 | (15) 0 | (17) (99, 99) | (18) X | (19) (32295, 32295) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 3266.03 | (25) (33.6729, 1-47) | (26) 1
Output number: 1, Rank-35: (1) 64 | (2) 995 | (3)6.43216/100 | (4) 95, 95 | (5) 112.575 | (6) 28.3424 | (7) 3.8117e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 77.7778/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (34173, 34173) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3115.15 | (25) (33.5673, 21-53) | (26) 1
Output number: 1, Rank-32: (1) 62 | (2) 972 | (3)6.3786/100 | (4) 105, 105 | (5) 117.177 | (6) 25.4031 | (7) 2.9379e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 78.8889/100 | (15) 0 | (17) (105, 105) | (18) X | (19) (35567, 35567) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 3440.83 | (25) (34.0493, 27-52) | (26) 1
Output number: 1, Rank-2: (1) 59 | (2) 240 | (3)24.5833/100 | (4) 72, 72 | (5) 99.0186 | (6) 1.18732 | (7) 9.6657e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 55.5556/100 | (15) 0 | (17) (72, 72) | (18) X | (19) (29351, 29351) | (20) 1 | (21) 0 | (22) 0 | (23) 34 | (24) 2977.01 | (25) (42.6442, 9-7) | (26) 1
Output number: 1, Rank-3: (1) 103 | (2) 295 | (3)34.9153/100 | (4) 89, 89 | (5) 100.351 | (6) 0.739638 | (7) 3.9013e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.006 | (14) 56.1111/100 | (15) 0 | (17) (89, 89) | (18) X | (19) (29713, 29713) | (20) 1 | (21) 0 | (22) 0 | (23) 45 | (24) 3707.34 | (25) (42.6814, 2-16) | (26) 1
Output number: 1, Rank-5: (1) 79 | (2) 218 | (3)36.2385/100 | (4) 75, 75 | (5) 100.034 | (6) 0.736283 | (7) 3.7394e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.006 | (14) 55.5556/100 | (15) 0 | (17) (75, 75) | (18) X | (19) (29247, 29247) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 3176.79 | (25) (43.6877, 6-30) | (26) 1
Output number: 1, Rank-4: (1) 95 | (2) 267 | (3)35.5805/100 | (4) 82, 82 | (5) 100.984 | (6) 0.703917 | (7) 5.0629e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.007 | (14) 56.1111/100 | (15) 0 | (17) (82, 82) | (18) X | (19) (29978, 29978) | (20) 1 | (21) 1 | (22) 0 | (23) 34 | (24) 3416.61 | (25) (44.7609, 15-15) | (26) 1
Output number: 1, Rank-6: (1) 90 | (2) 319 | (3)28.2132/100 | (4) 79, 79 | (5) 100.22 | (6) 0.840475 | (7) 6.8081e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.007 | (14) 56.1111/100 | (15) 0 | (17) (79, 79) | (18) X | (19) (29625, 29625) | (20) 1 | (21) 1 | (22) 0 | (23) 26 | (24) 3343.06 | (25) (46.6431, 16-29) | (26) 1
