#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-random-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0186967 seconds
Distributing the actor graph took: 2.41308 seconds
Added actors in: 0.0653138 seconds.
Initialized connections of actors in: 0.0115548 seconds.
Async Migration only
Output number: 1, Rank-27: (1) 0 | (2) 1549 | (3)0/100 | (4) 6, 6 | (5) 93.9027 | (6) 5.77077 | (7) 8.5494e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 55/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27504, 27504) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 253.693
Output number: 1, Rank-376: (1) 0 | (2) 1703 | (3)0/100 | (4) 6, 6 | (5) 96.333 | (6) 39.3558 | (7) 6.8327e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27659, 27659) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 207.878
Output number: 1, Rank-600: (1) 0 | (2) 1730 | (3)0/100 | (4) 5, 5 | (5) 77.2359 | (6) 50.719 | (7) 0.00014176 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70.5556/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (23062, 23062) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 166.587
Output number: 1, Rank-106: (1) 0 | (2) 1631 | (3)0/100 | (4) 6, 6 | (5) 92.5622 | (6) 7.78733 | (7) 8.4556e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27566, 27566) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 238.568
Output number: 1, Rank-142: (1) 0 | (2) 1705 | (3)0/100 | (4) 6, 6 | (5) 90.9495 | (6) 40.5308 | (7) 0.000130186 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 72.7778/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27626, 27626) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 196.846
Output number: 1, Rank-340: (1) 0 | (2) 1708 | (3)0/100 | (4) 6, 6 | (5) 91.4086 | (6) 40.5177 | (7) 0.000116107 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 72.7778/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27623, 27623) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 197.711
Output number: 1, Rank-42: (1) 0 | (2) 1458 | (3)0/100 | (4) 6, 6 | (5) 92.3507 | (6) 8.0635 | (7) 9.229e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27463, 27463) | (20) 0 | (21) 1 | (22) 0 | (23) 3 | (24) 243.344
Output number: 1, Rank-433: (1) 0 | (2) 1723 | (3)0/100 | (4) 5, 5 | (5) 75.6133 | (6) 50.0597 | (7) 3.8862e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (22945, 22945) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 164.024
Output number: 1, Rank-66: (1) 0 | (2) 1648 | (3)0/100 | (4) 5, 5 | (5) 77.1064 | (6) 21.9593 | (7) 8.8049e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (23001, 23001) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 206.019
Output number: 1, Rank-133: (1) 0 | (2) 1721 | (3)0/100 | (4) 6, 6 | (5) 91.0628 | (6) 41.9449 | (7) 9.3746e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27553, 27553) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 197.674
