#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload/pond-sw-offload-local-single-24-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.153065 seconds
Distributing the actor graph took: 2.40037 seconds
Added actors in: 0.0458284 seconds.
Initialized connections of actors in: 0.0114758 seconds.
Rank-653: (1) 1 | (2) 1 | (3)100/100 | (4) 8 | (5) 133.132 | (6) 13.6453 | (7) 7.5972e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 89.5706/100| (15)0 | (16) 1
Rank-323: (1) 1 | (2) 1 | (3)100/100 | (4) 8 | (5) 145.483 | (6) 7.99213 | (7) 4.3668e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.865/100| (15)0 | (16) 1
Rank-635: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 144.362 | (6) 8.73261 | (7) 0.000125358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 93.865/100| (15)0 | (16) 1
Rank-534: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 145.113 | (6) 7.97888 | (7) 0.000102703 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 93.865/100| (15)0 | (16) 1
Rank-180: (1) 1 | (2) 1 | (3)100/100 | (4) 7 | (5) 133.631 | (6) 13.3451 | (7) 9.8331e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 89.5706/100| (15)0 | (16) 1
Rank-201: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 144.136 | (6) 8.71203 | (7) 8.5115e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.2515/100| (15)0 | (16) 1
Rank-255: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 145.152 | (6) 8.21845 | (7) 0.000129441 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.865/100| (15)0 | (16) 1
Rank-407: (1) 1 | (2) 1 | (3)100/100 | (4) 8 | (5) 147.056 | (6) 7.24145 | (7) 6.4477e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 94.4785/100| (15)0 | (16) 1
Rank-493: (1) 1 | (2) 1 | (3)100/100 | (4) 8 | (5) 148.332 | (6) 6.67202 | (7) 3.9168e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 95.092/100| (15)0 | (16) 1
Rank-525: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 143.878 | (6) 8.78052 | (7) 0.000109053 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 93.2515/100| (15)0 | (16) 1
