#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-random-1-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.000941166 seconds
Distributing the actor graph took: 2.14268 seconds
Added actors in: 0.444192 seconds.
Initialized connections of actors in: 0.0117432 seconds.
Async Migration only
Output number: 2, Rank-3: (1) 0 | (2) 327 | (3)0/100 | (4) 135, 135 | (5) 161.953 | (6) 0.409422 | (7) 4.9094e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 45/100 | (15) 0 | (17) (135, 135) | (18) X | (19) (46967, 17348) | (20) 1 | (21) 1 | (22) 0 | (23) 119 | (24) 5711.37
Output number: 2, Rank-26: (1) 13 | (2) 2855 | (3)0.455342/100 | (4) 200, 200 | (5) 191.43 | (6) 58.845 | (7) 6.6728e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 69.4444/100 | (15) 0 | (17) (200, 200) | (18) X | (19) (58052, 23814) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 6548.88
Output number: 2, Rank-9: (1) 47 | (2) 2766 | (3)1.6992/100 | (4) 197, 197 | (5) 205.841 | (6) 53.319 | (7) 3.0922e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 71.9444/100 | (15) 0 | (17) (197, 197) | (18) X | (19) (61988, 26708) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 6483.59
Output number: 2, Rank-27: (1) 12 | (2) 2796 | (3)0.429185/100 | (4) 201, 201 | (5) 192.801 | (6) 58.2685 | (7) 8.694e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.002 | (14) 69.7222/100 | (15) 0 | (17) (201, 201) | (18) X | (19) (58734, 23280) | (20) 0 | (21) 0 | (22) 0 | (23) 5 | (24) 6538.07
Output number: 2, Rank-20: (1) 7 | (2) 2787 | (3)0.251166/100 | (4) 189, 189 | (5) 196.524 | (6) 58.5662 | (7) 8.8151e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.003 | (14) 70.8333/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (59326, 23892) | (20) 0 | (21) 0 | (22) 0 | (23) 4 | (24) 6203.49
Output number: 2, Rank-14: (1) 5 | (2) 2697 | (3)0.185391/100 | (4) 187, 187 | (5) 218.834 | (6) 50.0748 | (7) 7.4717e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.003 | (14) 74.4444/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (66013, 23868) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 6168.9
Output number: 2, Rank-12: (1) 2 | (2) 2683 | (3)0.0745434/100 | (4) 188, 188 | (5) 194.66 | (6) 73.6873 | (7) 6.5127e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.003 | (14) 74.4444/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (58366, 25055) | (20) 0 | (21) 1 | (22) 0 | (23) 3 | (24) 6224.17
Output number: 2, Rank-2: (1) 12 | (2) 673 | (3)1.78306/100 | (4) 123, 123 | (5) 158.359 | (6) 3.35068 | (7) 7.969e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.005 | (14) 44.7222/100 | (15) 0 | (17) (123, 123) | (18) X | (19) (45411, 16822) | (20) 0 | (21) 0 | (22) 0 | (23) 5 | (24) 5225.12
Output number: 3, Rank-5: (1) 66 | (2) 3797 | (3)1.73821/100 | (4) 193, 193 | (5) 344.147 | (6) 66.9195 | (7) 1.9663e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 76.1111/100 | (15) 0 | (17) (193, 193) | (18) X | (19) (104453, 51620) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6359.98
Output number: 3, Rank-19: (1) 56 | (2) 3709 | (3)1.50984/100 | (4) 178, 178 | (5) 379.486 | (6) 54.0413 | (7) 9.8847e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 80.1852/100 | (15) 0 | (17) (178, 178) | (18) X | (19) (114352, 50989) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 5893.22
