#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-big/pond-offload-local-single-1-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.000847394 seconds
Distributing the actor graph took: 41.7045 seconds
Added actors in: 1.75164 seconds.
Initialized connections of actors in: 0.049009 seconds.
Output number: 2, Rank-7: (1) 0 | (2) 0 | (3)0/100 | (4) 1007, 1007 | (5) 105.935 | (6) 52.385 | (7) 0.000496452 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.006 | (14) 43.8889/100 | (15) 0 | (17) (1007, 1007) | (18) X | (19) (469504, 264694) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3113.99
Output number: 2, Rank-1: (1) 0 | (2) 0 | (3)0/100 | (4) 836, 836 | (5) 91.6046 | (6) 73.1326 | (7) 8.2625e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.011 | (14) 45.5556/100 | (15) 0 | (17) (836, 836) | (18) X | (19) (391170, 222327) | (20) 1 | (21) 0 | (22) 0 | (23) 11 | (24) 2756.09
Output number: 2, Rank-0: (1) 0 | (2) 0 | (3)0/100 | (4) 734, 734 | (5) 228.561 | (6) 31.6294 | (7) 0.000185953 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.017 | (14) 72.2222/100 | (15) 0 | (17) (734, 734) | (18) X | (19) (357241, 200969) | (20) 1 | (21) 0 | (22) 0 | (23) 24 | (24) 5330.56
Output number: 2, Rank-16: (1) 0 | (2) 0 | (3)0/100 | (4) 807, 807 | (5) 95.1635 | (6) 76.2532 | (7) 0.000127108 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.038 | (14) 47.5/100 | (15) 0 | (17) (807, 807) | (18) X | (19) (378305, 219595) | (20) 1 | (21) 0 | (22) 0 | (23) 55 | (24) 2971.89
Output number: 2, Rank-9: (1) 425 | (2) 425 | (3)100/100 | (4) 319, 319 | (5) 348.608 | (6) 1.24506 | (7) 7.1857e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.167 | (14) 96.9444/100 | (15) 0 | (17) (319, 319) | (18) X | (19) (211280, 104651) | (20) 1 | (21) 0 | (22) 0 | (23) 313 | (24) 5482.42
Output number: 2, Rank-15: (1) 317 | (2) 317 | (3)100/100 | (4) 420, 420 | (5) 349.176 | (6) 1.10695 | (7) 2.3003e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.509 | (14) 97.2222/100 | (15) 0 | (17) (420, 420) | (18) X | (19) (258575, 133098) | (20) 1 | (21) 0 | (22) 0 | (23) 420 | (24) 5566.19
Output number: 3, Rank-12: (1) 0 | (2) 0 | (3)0/100 | (4) 756, 756 | (5) 35.2953 | (6) 153.545 | (7) 0.000182581 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 34.8148/100 | (15) 0 | (17) (756, 756) | (18) X | (19) (640631, 260059) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 421.248
Output number: 3, Rank-6: (1) 376 | (2) 376 | (3)100/100 | (4) 368, 368 | (5) 175.888 | (6) 112.648 | (7) 0.000552279 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 53.3333/100 | (15) 0 | (17) (368, 368) | (18) X | (19) (347084, 125504) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1734.69
Output number: 3, Rank-19: (1) 42 | (2) 42 | (3)100/100 | (4) 785, 785 | (5) 157.442 | (6) 105.734 | (7) 0.000531805 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 48.7037/100 | (15) 0 | (17) (785, 785) | (18) X | (19) (674586, 270037) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2106.85
Output number: 3, Rank-25: (1) 581 | (2) 581 | (3)100/100 | (4) 172, 172 | (5) 207.05 | (6) 107.828 | (7) 0.00010638 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 58.1481/100 | (15) 0 | (17) (172, 172) | (18) X | (19) (194262, 59348) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1785.22
Output number: 3, Rank-20: (1) 617 | (2) 617 | (3)100/100 | (4) 135, 135 | (5) 189.147 | (6) 119.562 | (7) 0.000101688 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 57.037/100 | (15) 0 | (17) (135, 135) | (18) X | (19) (153874, 46116) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1764.86
